Entity,Domain,Subdomain,Table,Primary Key,Natural Key,Description,Column Count,Has State Machine,States,Axiom Count,Action Count,Business Logic
SupplierIngredient,procurement,sourcing,supplier_ingredients,id,,Supplier-ingredient catalog with cost and lead time,3,N,,0,0,"Sourcing matrix connecting suppliers to ingredients with commercial terms. lead_time_days driven by sourcing origin (LOCAL, REGIONAL, GLOBAL tiers). Multiple suppliers may offer the same ingredient at different cost/lead time/MOQ combinations. Basis for procurement optimization."
Batch,supply,manufacturing,batches,id,batch_number,Production batch output from a work order,7,Y,"pending, in_progress, completed",1,2,"Production execution record. product_type discriminates output: finished_good → SKU table, bulk_intermediate → BulkIntermediate table, premix → BulkIntermediate table (bom_level=2 sub-intermediates). bom_level mirrors formula hierarchy (0=finished, 1=intermediate, 2=premix). Mass balance: sum of input ingredient quantities (batch_ingredients) should approximate batch output quantity_kg / yield_percent."
BatchIngredient,supply,manufacturing,batch_ingredients,id,,Actual ingredient consumption in a batch,1,N,,0,0,Actual consumption records for production batches. quantity_kg records what was actually used. Expected quantity = formula_ingredients.quantity_kg × batches.quantity_kg. Useful for planned-vs-actual variance analysis and mass balance verification.
BulkIntermediate,supply,product,bulk_intermediates,id,bulk_code,"Intermediate bulk product (e.g., paste, base compound)",4,N,,0,0,"Intermediate products in two tiers: primary bulks (bom_level=1) and premix sub-intermediates (bom_level=2). Bridges raw materials to finished goods in a variable-depth BOM (2-4 levels). Some bom_level=1 formulas consume premixes as ingredients, creating 3-level BOMs."
DistributionCenter,supply,network,distribution_centers,id,dc_code,Distribution center / warehouse,4,N,,0,0,"Distribution centers in two subtypes distinguished by type column: RDCs (type='rdc', regional consolidation hubs) and customer DCs (type='customer_dc', retailer/channel warehouses). Some customer DCs are multi-source (served by multiple upstream RDCs)."
Formula,supply,product,formulas,id,formula_code,Manufacturing formula (recipe/BOM) for producing a product,4,N,,0,0,"Manufacturing formulas at three BOM levels: SKU-level (bom_level=0), bulk-level (bom_level=1), premix-level (bom_level=2). product_id is polymorphic — bom_level=0 → skus table, bom_level=1/2 → bulk_intermediates table. Variable BOM depth (2-4 levels). Diamond dependencies exist (same raw material in both premix and parent bulk formula)."
FormulaIngredient,supply,product,formula_ingredients,"formula_id, ingredient_id, sequence",,Ingredient requirement within a formula,2,N,,0,0,"BOM line items with composite PK (formula_id, ingredient_id, sequence). quantity_kg is the per-unit requirement. IMPORTANT: ingredient_id is polymorphic — it can point to ingredients table (raw materials) or bulk_intermediates table (primary bulks or premix sub-intermediates). No discriminator column; must LEFT JOIN both tables to resolve."
Plant,supply,manufacturing,plants,id,plant_code,Manufacturing plant with production capacity,4,N,,1,0,"Manufacturing plants, each specializing in product categories. capacity_tons_per_day is the key constraint for production planning and scenario analysis. Plants are also origin/destination nodes in the transport network."
ProductionLine,supply,manufacturing,production_lines,id,line_code,Production line within a plant,4,N,,0,0,Production lines within plants. line_type determines which product categories a line can produce. capacity_units_per_hour is the throughput rate. is_active filters operational lines (ontology has vg:sql_filter on the relationship).
RouteSegment,supply,network,route_segments,id,segment_code,Transport route segment between two locations,6,N,,0,0,"This IS the transport network graph. Each row is a directed edge between two polymorphic locations. Origin types: supplier, plant, rdc, customer_dc. Destination types: plant, rdc, customer_dc, store. Network includes lateral RDC-to-RDC links for transshipment. Some DCs are multi-source (served by multiple upstream RDCs). Graph is not a strict tree — shortest-path and centrality analyses are non-trivial. distance_km and transit_time_hours are dual edge weights."
SKU,supply,product,skus,id,sku_code,Stock keeping unit - finished good for sale,7,N,,0,0,"Finished goods across categories (ORAL_CARE, PERSONAL_WASH, HOME_CARE). Some SKUs have -OLD suffix renamed codes with supersedes_sku_id linking to the replacement SKU. value_segment (premium/mid/value) drives margin analysis. price_per_case is list price; actual revenue is in AR invoices."
WorkOrder,supply,manufacturing,work_orders,id,wo_number,Manufacturing work order for planned production,8,Y,"planned, in_progress, complete",0,0,Production scheduling document linking a formula to a plant. planned_quantity_kg is the target output. Links formula (what to make) to plant (where to make it).
