Category,Entity/Relationship,Domain,Detail 1,Detail 2,Detail 3,Detail 4,Detail 5,Detail 6,Detail 7
Flow,ShipmentHasLines,demand,material,quantity_cases,shipment_id,order_to_cash,cases,,
Flow,SupplierOffersIngredient,procurement,material,min_order_qty,lead_time_days,procure_to_pay,kg,,
Cross-Domain,ARInvoiceLineForSKU,demand,ARInvoiceLine,SKU,direct_join,,,,
Cross-Domain,BatchConsumesIngredient,supply,Batch,Ingredient,direct_join,,,,
Cross-Domain,DeductionForSKU,demand,TradeDeduction,SKU,direct_join,,,,
Cross-Domain,DemandForecastForSKU,demand,DemandForecast,SKU,direct_join,,,,
Cross-Domain,FormulaHasIngredients,supply,Formula,Ingredient,"direct_join, hierarchical_aggregation, path_aggregation",,,,
Cross-Domain,GRAtPlant,procurement,GoodsReceipt,Plant,direct_join,,,,
Cross-Domain,GRFromShipment,procurement,GoodsReceipt,Shipment,direct_join,,,,
Cross-Domain,InventoryAtLocation,demand,Inventory,"Plant, DistributionCenter, RetailLocation",direct_join,,,,
Cross-Domain,InventoryForSKU,demand,Inventory,SKU,direct_join,,,,
Cross-Domain,InvoiceVarianceForAPInvoice,orchestrate,InvoiceVariance,APInvoice,direct_join,,,,
Cross-Domain,OrderLineForSKU,demand,OrderLine,SKU,direct_join,,,,
Cross-Domain,POAtPlant,procurement,PurchaseOrder,Plant,direct_join,,,,
Cross-Domain,PromoEventForSKU,demand,PromoEvent,SKU,direct_join,,,,
Cross-Domain,ReturnLineForSKU,demand,ReturnLine,SKU,direct_join,,,,
Cross-Domain,ReturnToDC,demand,Return,DistributionCenter,direct_join,,,,
Cross-Domain,ShipmentFromOrigin,demand,Shipment,"Plant, DistributionCenter, RetailLocation",direct_join,,,,
Cross-Domain,ShipmentLineForSKU,demand,ShipmentLine,SKU,direct_join,,,,
Cross-Domain,ShipmentToDestination,demand,Shipment,"Plant, DistributionCenter, RetailLocation",direct_join,,,,
Axiom,APInvoice,procurement,no_duplicate_invoices,referential,warning,Invoice numbers should be unique (DUP suffix indicates duplicate postings),"SELECT invoice_number, COUNT(*) FROM ap_invoices GROUP BY invoice_number HAVING COUNT(*) > 1",,
Axiom,Batch,supply,yield_range,value_range,error,Yield percent must be between 0 and 100,yield_percent BETWEEN 0 AND 100,,
Axiom,GLJournal,orchestrate,gl_balance,conservation,error,Total debits must equal total credits per day,ABS(SUM(debit_amount) - SUM(credit_amount)) < 0.01,,
Axiom,Inventory,demand,quantity_non_negative,value_range,warning,Inventory quantity must not be negative,quantity_cases >= 0,,
Axiom,Plant,supply,capacity_positive,value_range,error,Plant capacity must be positive,capacity_tons_per_day > 0,,
Axiom,Shipment,demand,temporal_order,temporal_order,error,Arrival date must be on or after ship date,arrival_date >= ship_date OR arrival_date IS NULL,,
Axiom,Supplier,procurement,no_duplicate_suppliers,referential,warning,Base supplier codes should be unique (ALT duplicates are data quality issues),"SELECT REPLACE(supplier_code, '-ALT', '') as base, COUNT(*) FROM suppliers GROUP BY base HAVING COUNT(*) > 1",,
Axiom,FormulaHasIngredients,supply,ingredient_quantity_positive,value_range,error,Formula ingredient quantity must be positive,quantity_kg > 0,,
